quote|author
If you know the enemy and know yourself, you need not fear the result of a hundred battles.|Sun Tzu
Supreme excellence consists in breaking the enemy's resistance without fighting.|Sun Tzu
Float like a butterfly, sting like a bee.|Muhammad Ali
Everyone has a plan until they get punched in the mouth.|Mike Tyson
It's not whether you get knocked down, it's whether you get up.|Vince Lombardi
Veni, vidi, vici.|Julius Caesar
If you're going through hell, keep going.|Winston Churchill
The answer lies in the heart of battle.|Ryu — Street Fighter II
Impossible is a word found only in the dictionary of fools.|Napoleon Bonaparte
Do what you can, with what you have, where you are.|Theodore Roosevelt
